,Input qustion sentence,Actual sql Translation,Prideccted
0,what are the notes when the time was 7:42.92 and the rank is more than 1?, select notes from table where rank > 1 and time = 7:42.92 , select notes from table where rank > 1 and time = 
1,name the away team score for home team of university, select away team score from table where home team = university , select away team score from table where home team = carlton 
2,which venue had a nationality of belgium?, select venue from table where nationality = belgium , select venue from table where nationality = sweden 
3,which rank is the highest one that has points smaller than 256.6?, select max rank from table where points < 256.6 , select max rank from table where points < 49 
4,"which result has an attendance larger than 38,354, and a date of october 23, 1988?"," select result from table where attendance > 38,354 and date = october 23, 1988 "," select result from table where attendance > > 2 and date = october 23, 1988 "
5,what is patrice bergeron's rating?, select rating from table where player = patrice bergeron , select rating from table where player = #2 
6,"which time has a rank larger than 3, and a name of andrey kapralov?", select time from table where rank > 3 and name = andrey kapralov , select time from table where rank > 3 and name = richard 
7,"which score has an attendance larger than 13,175 and a record of 18-16?"," select score from table where attendance > 13,175 and record = 18-16 ", select score from table where attendance > record and record = 
8,"who won a prize pool of $61,100?"," select winner from table where prize pool = $61,100 ", select winner from table where prize prize = 
9,"what's the date when yelena isinbayeva for russia was in beijing, china?"," select date from table where nation = russia and place = beijing, china and athlete = yelena isinbayeva ", select date from table where nation = china and name = mike athlete and athlete = alex # 
10,which year is the lowest one that has wins smaller than 0?, select min year from table where wins < 0 , select min year from table where wins < 0 
11,which week has a result of l 13-16 and an opponent of at buffalo bills?, select avg week from table where result = l 13-16 and opponent = at buffalo bills , select avg week from table where result = l at 26 and opponent = buffalo bills 
12,who did collingwood play at home?, select home team from table where away team = collingwood , select home team from table where away team = collingwood 
13,"when the frequency is 103.7 mhz and the erp w is more than 10, what is the call sign?", select call sign from table where erp w > 10 and frequency mhz = 103.7 , select erp w from table where erp w > 10 and frequency mhz = call 
14,which tie number had middlesbrough as the away team?, select tie no from table where away team = middlesbrough , select tie no from table where away team = collingwood 
15,how many silver medals does china have?, select count silver from table where nation = china , select sum silver from table where nation = china 
16,name the callsign for davao mindanao region, select callsign from table where coverage = davao mindanao region , select callsign from table where branding = 7 withdrawn 
17,which host city has more than 6 silver and a total of 22?, select host city from table where silver > 6 and total = 22 , select host from table where silver > 6 and total = 22 
18,"what is the outcome of the match with partner marcella mesker and a score of 6–4, 4–6, 4–6?"," select outcome from table where partner = marcella mesker and score = 6–4, 4–6, 4–6 "," select outcome from table where partner = outcome and score = 4–6, 4–6, 4–6, 2–6 "
19,what is the make of the car that won the brazilian grand prix?, select constructor from table where grand prix = brazilian grand prix , select constructor from table where grand prix = top-10 
20,what record company did pianist solomon cutner record for?, select record company from table where pianist = solomon cutner , select record company from table where company = world record and player = venue 
21,"during what years did the tallest building, located at 211 union street, have less than 31 floors?", select years as tallest from table where floors < 31 and street address = 211 union street , select years from table where year built > 6 and location = 6 march < 1958 
22,how many u.s. viewers (million) watched the episode directed by allison liddi-brown?, select u.s. viewers (million) from table where directed by = allison liddi-brown , select u.s. viewers (million) from table where directed by = john theme 
23,which team has yuriy hruznov as coach?, select team from table where coach = yuriy hruznov , select team from table where coach = winner 
24,what is the power of the unit built after 1995?, select sum power (horsepower) from table where year built > 1995 , select power power from table where year > 2000 and location attendance = unknown 
25,what is the 2nd (m) value for gregor schlierenzauer?, select min 2nd (m) from table where name = gregor schlierenzauer , select min 2nd (m) from table where name = alex nat. 
26,which result has a goal of deacon 2/5?, select result from table where goals = deacon 2/5 , select result from table where goals = deacon lee 
27,"which lost has drawn larger than 1, and a played larger than 14?", select min lost from table where drawn > 1 and played > 14 , select max lost from table where drawn > 1 and played > 14 
28,what is the score of the match on 12 september 1990?, select score from table where date = 12 september 1990 , select score from table where date = 12 september 1990 
29,what is the minimum stage where sergei smetanine won?, select min stage from table where winner = sergei smetanine , select min stage from table where winner = alex attendance 
30,what's the proto-germanic when the german is /t/?, select proto-germanic from table where german = /t/ , select status from table where german = team = marcus 
31,what is the enrollment of stm which has been in competition since 1990?, select count enrolment from table where in competition since = 1990 and abbreviation = stm , select count type from table where competition of type = friendly and prize = round 
32,"what television service has italian as the language, and sky famiglia as the package option?", select television service from table where language = italian and package/option = sky famiglia , select television service from table where language = sky and television service = sky sky 
33,in which yearly change was there a capacity of 78.4% and a rank smaller than 3?, select annual change from table where rank < 3 and capacity in use = 78.4% , select change from table where rank < 3 and capacity > 1 
34,who does pádraig harrington play for?, select country from table where player = pádraig harrington , select country from table where player = points = reg. season 
